ofi_mean,ret_mean,ret_se,n
-19111.545023696683,-0.00013303583236373123,2.386717649607893e-06,2110
-9246.145092460882,-5.510795774390831e-05,2.101585262722633e-06,2109
-5486.111804222649,-2.6572309495116386e-05,1.682426356081716e-06,2084
-3229.5769050958393,-1.887352846719881e-05,1.6438768076128926e-06,2139
-1737.0100430416069,-2.399604291531436e-05,1.6732083329147078e-06,2091
-884.5824330671677,-6.181735802425897e-05,2.2584843531033625e-06,2129
-488.0170859041291,-7.974350984503448e-05,2.2461632899167106e-06,2107
-283.1357380161367,-7.694250864913595e-05,2.4636474394033243e-06,2107
-156.65005138746145,-5.308901904309381e-05,2.332083681109051e-06,1946
-55.845896946564885,-2.2983861411187247e-05,1.8599679634532076e-06,2096
11.856334349151066,6.9221288207850514e-06,1.3618717328677753e-06,2297
111.87885985748218,3.704090076993827e-05,1.9351124635017348e-06,2105
242.7533143939394,6.584385398609878e-05,2.334567314846498e-06,2112
428.9526963103122,8.575330210828255e-05,2.521192419827884e-06,2114
779.2784629981024,6.731755501201117e-05,2.760006222489743e-06,2108
1547.4988157271434,2.373997268691266e-05,1.6547844883301983e-06,2111
2848.4896185417674,1.6414364079466027e-05,1.5155548260444245e-06,2071
4913.530450953045,2.0893554255041163e-05,1.516834294978335e-06,2151
8543.10990052108,4.530284383118096e-05,1.8761691967449388e-06,2111
18641.21553765988,0.00012537949989330972,2.4589913931369285e-06,2111
