name,metric,point,ci_low,ci_high,p_raw,p_adj,rejected,n_obs,horizon
ofi_contemporaneous,coef,5.814735725152979e-09,5.430459681757215e-09,6.199011768548743e-09,2.7133341327959107e-193,1.153167006438262e-192,True,42209,
ofi_forward_h1,coef,1.2885260769306174e-10,1.0301655809171158e-10,1.546886572944119e-10,1.4420772618730358e-22,2.0429427876534674e-22,True,1688686,1.0
ofi_forward_h5,coef,5.068991467327709e-10,4.372385958844063e-10,5.765596975811355e-10,3.770680811810496e-46,5.827415800070766e-46,True,337735,5.0
ofi_forward_h10,coef,7.228440773780398e-10,6.2726173860118e-10,8.184264161548997e-10,1.051509891037955e-49,1.9861853497383593e-49,True,168865,10.0
ofi_forward_h20,coef,9.208829477410036e-10,7.975722336633552e-10,1.044193661818652e-09,1.6313726628133906e-48,2.773333526782764e-48,True,84431,20.0
ofi_forward_h50,coef,1.4482857501116442e-09,1.2609028867905652e-09,1.6356686134327232e-09,7.739863501262805e-52,1.6447209940183462e-51,True,33770,50.0
ofi_forward_h100,coef,2.077338719300652e-09,1.8591063622550965e-09,2.2955710763462076e-09,1.1127357424218559e-77,3.1527512701952586e-77,True,16883,100.0
ofi_forward_h200,coef,1.7449347004017243e-09,1.5215995087106743e-09,1.9682698920927744e-09,6.227555935395286e-53,1.5124064414531409e-52,True,8439,200.0
queue_imbalance_next_move,AUC,0.6372180499610203,0.617319788283462,0.6584430209403578,0.0004997501249375312,0.000606839437424145,True,37088,
sign_autocorr_lag1,autocorr,0.7636296498332527,0.7580628730954511,0.7691964265710542,0.0,0.0,True,123962,1.0
sign_autocorr_lag5,autocorr,0.5153276627916501,0.5033049577889631,0.5273503677943371,0.0,0.0,True,123962,5.0
sign_autocorr_lag10,autocorr,0.3849686638301615,0.3699298033839087,0.4000075242764143,0.0,0.0,True,123962,10.0
sign_autocorr_lag20,autocorr,0.24850458830209068,0.23076244019810216,0.2662467364060792,6.54959094343977e-166,2.226860920769522e-165,True,123962,20.0
sign_autocorr_lag50,autocorr,0.09212991960336367,0.07251277362972054,0.1117470655770068,3.424024868331091e-20,4.4775709816637344e-20,True,123962,50.0
sign_autocorr_lag100,autocorr,0.017069337926839068,-0.0028002684160595946,0.036938944269737733,0.09223157124186658,0.09799604444448325,False,123962,100.0
sign_autocorr_lag200,autocorr,-0.013119161306887355,-0.03308822774188809,0.006849905128113383,0.19786930352137766,0.19786930352137766,False,123962,200.0
impact_curve,coef,0.025696887562371984,0.005267007965510127,0.04612676715923384,0.013691369106825968,0.015516884987736098,True,33335,
